Näitaja;Tegevusala;Tööga hõivatud isikute arv;DIM5;Turvalisus;TIME;Vaatlusperiood;ValueStr;Value
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;50.9;50,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;28;28
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;8.9;8,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;18.1;18,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;4.9;4,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;5.1;5,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;22.9;22,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;6.1;6,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;4;4
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;3.3;3,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;9.2;9,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;90.6;90,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;Kokku;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;6.8;6,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;1;Tugev paroolide autentimine;2019;2019;55;55
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;63.9;63,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;5.9;5,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;26.1;26,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;5;Andmete varundamine eraldi keskkonda;2019;2019;55.8;55,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;6;Võrgujuurdepääsu kontroll;2019;2019;47.4;47,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;7;VPNi kasutamine;2019;2019;27.7;27,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;25.6;25,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;9;IKT riskianalüüside teostamine;2019;2019;17;17
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;10;IKT turvatestid;2019;2019;19;19
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;81.2;81,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;37.6;37,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;37.8;37,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;30.9;30,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;49.8;49,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;16;IKT turvalisuse teemadest ei teavitata;2019;2019;50;50
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;39.2;39,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;49.4;49,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;79.3;79,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;32.9;32,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;11.7;11,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;13;13
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;45.2;45,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;20.5;20,5
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;3.3;3,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;12.7;12,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;3.4;3,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;4.4;4,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;16.1;16,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;5.2;5,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;3.3;3,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;2.8;2,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;7;7
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;92.7;92,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;10-19;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;4.5;4,5
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;1;Tugev paroolide autentimine;2019;2019;59.6;59,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;72.3;72,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;5.9;5,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;28.8;28,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;5;Andmete varundamine eraldi keskkonda;2019;2019;66.9;66,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;6;Võrgujuurdepääsu kontroll;2019;2019;63.3;63,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;7;VPNi kasutamine;2019;2019;40.1;40,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;37.2;37,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;9;IKT riskianalüüside teostamine;2019;2019;23;23
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;10;IKT turvatestid;2019;2019;28.3;28,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;87.8;87,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;45.1;45,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;44.6;44,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;34.3;34,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;57.8;57,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;16;IKT turvalisuse teemadest ei teavitata;2019;2019;41.9;41,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;39.1;39,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;60.1;60,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;83.9;83,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;31.7;31,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;17.3;17,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;20.1;20,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;53.9;53,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;29.8;29,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;7.7;7,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;17.8;17,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;5.8;5,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;6.2;6,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;23.6;23,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;5.3;5,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;3.6;3,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;2.5;2,5
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;8.1;8,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;91.6;91,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;20-49;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;6.8;6,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;1;Tugev paroolide autentimine;2019;2019;71.2;71,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;79.8;79,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;7.6;7,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;32.9;32,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;5;Andmete varundamine eraldi keskkonda;2019;2019;77.3;77,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;6;Võrgujuurdepääsu kontroll;2019;2019;79.1;79,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;7;VPNi kasutamine;2019;2019;58.3;58,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;51;51
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;9;IKT riskianalüüside teostamine;2019;2019;38.7;38,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;10;IKT turvatestid;2019;2019;45.8;45,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;92.6;92,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;55.7;55,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;54.6;54,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;48.1;48,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;69.7;69,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;16;IKT turvalisuse teemadest ei teavitata;2019;2019;30.3;30,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;45.7;45,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;67;67
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;93.6;93,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;40.6;40,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;21.5;21,5
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;23;23
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;61.7;61,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;35.4;35,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;14.4;14,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;24.4;24,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;5.4;5,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;5.7;5,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;29.7;29,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;8.7;8,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;5.6;5,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;4.6;4,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;13.8;13,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;86.2;86,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;50-99;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;9.1;9,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;1;Tugev paroolide autentimine;2019;2019;82.9;82,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;86.4;86,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;10.9;10,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;47.1;47,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;5;Andmete varundamine eraldi keskkonda;2019;2019;82.8;82,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;6;Võrgujuurdepääsu kontroll;2019;2019;87.8;87,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;7;VPNi kasutamine;2019;2019;74.8;74,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;59.3;59,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;9;IKT riskianalüüside teostamine;2019;2019;51.4;51,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;10;IKT turvatestid;2019;2019;55;55
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;95.9;95,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;66.3;66,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;65.3;65,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;55.3;55,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;80.7;80,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;16;IKT turvalisuse teemadest ei teavitata;2019;2019;19.3;19,3
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;59.6;59,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;61;61
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;96.2;96,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;54.9;54,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;28.9;28,9
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;33.7;33,7
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;56;56
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;46.2;46,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;29.2;29,2
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;34;34
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;7.6;7,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;4.6;4,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;41.6;41,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;11;11
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;7.5;7,5
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;5.8;5,8
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;17.4;17,4
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;82.6;82,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;100-249;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;13.5;13,5
Ettevõtete osatähtsus, %;Tegevusalad kokku;250 ja enam;1;Tugev paroolide autentimine;2019;2019;91.1;91,1
Ettevõtete osatähtsus, %;Tegevusalad kokku;250 ja enam;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;91.6;91,6
Ettevõtete osatähtsus, %;Tegevusalad kokku;250 ja enam;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;12.9;12,9
